
  VITE v8.2.2  ready in 1014 ms

  ➜  Local:   http://127.0.0.1:5174/
  ➜  press h + enter to show help
10:39:23 [vite] (client) page reload src/i18n/index.ts
10:54:13 [vite] (client) hmr update /src/data/store.tsx
10:54:13 [vite] (client) hmr update /src/screens/mylearning/MyLearning.tsx
10:54:13 [vite] (client) page reload src/data/download.ts
10:54:13 [vite] (client) page reload src/i18n/ui.en.json
10:54:13 [vite] (client) hmr invalidate /src/data/store.tsx Could not Fast Refresh ("INITIAL" export is incompatible). Learn more at https://github.com/vitejs/vite-plugin-react/tree/main/packages/plugin-react#consistent-components-exports
10:54:13 [vite] (client) page reload src/data/store.tsx
11:00:16 [vite] (client) page reload src/i18n/ui.en.json
11:00:16 [vite] (client) hmr update /src/screens/mylearning/MyLearning.tsx
11:02:43 [vite] (client) page reload src/i18n/index.ts
11:05:58 [vite] (client) page reload landing/app/dist/404/index.html
11:05:58 [vite] (client) page reload landing/app/dist/404.html
11:05:58 [vite] (client) page reload landing/app/dist/certificate/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/404/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/404.html
11:05:58 [vite] (client) page reload landing/app/dist/en/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/certificate/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/materials/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/materials/access/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/materials/archive/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/materials/onvif/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/program/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/access/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/archive/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/onvif/index.html
11:05:58 [vite] (client) page reload landing/app/dist/program/index.html
11:05:58 [vite] (client) page reload landing/app/dist/index.html
11:05:58 [vite] (client) page reload landing/app/dist/index.html
11:05:58 [vite] (client) page reload landing/app/dist/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/index.html
11:05:58 [vite] (client) page reload landing/app/dist/program/index.html
11:05:58 [vite] (client) page reload landing/app/dist/certificate/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/onvif/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/archive/index.html
11:05:58 [vite] (client) page reload landing/app/dist/materials/access/index.html
11:05:58 [vite] (client) page reload landing/app/dist/404.html
11:05:58 [vite] (client) page reload landing/app/dist/404/index.html
11:05:58 [vite] (client) page reload landing/app/dist/en/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/materials/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/program/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/certificate/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/materials/onvif/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/materials/archive/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/materials/access/index.html
11:05:59 [vite] (client) page reload landing/app/dist/en/404.html
11:05:59 [vite] (client) page reload landing/app/dist/en/404/index.html
23:21:25 [vite] (client) page reload src/data/materials.ts
23:21:25 [vite] (client) page reload src/i18n/content.en.json
23:28:51 [vite] (client) page reload src/data/download.ts
23:28:51 [vite] (client) page reload src/data/trajectories.ts
23:28:51 [vite] (client) page reload src/i18n/content.en.json
23:28:51 [vite] (client) page reload src/i18n/index.ts
23:28:51 [vite] (client) page reload src/i18n/ui.en.json
23:28:51 [vite] (client) hmr update /src/screens/assessmentintro/AssessmentIntro.tsx
23:28:51 [vite] (client) hmr update /src/screens/certificate/Certificate.tsx
23:28:51 [vite] (client) hmr update /src/screens/companyverification/CompanyVerification.tsx
23:28:51 [vite] (client) hmr update /src/screens/mylearning/MyLearning.tsx
23:28:51 [vite] (client) hmr update /src/screens/trajectorycard/TrajectoryCard.tsx
23:28:52 [vite] (client) page reload landing/app/index.html
23:30:00 [vite] (client) page reload landing/app/dist/404/index.html
23:30:00 [vite] (client) page reload landing/app/dist/404.html
23:30:00 [vite] (client) page reload landing/app/dist/certificate/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/404/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/certificate/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/materials/access/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/materials/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/materials/onvif/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/materials/archive/index.html
23:30:00 [vite] (client) page reload landing/app/dist/index.html
23:30:00 [vite] (client) page reload landing/app/dist/materials/index.html
23:30:00 [vite] (client) page reload landing/app/dist/materials/onvif/index.html
23:30:00 [vite] (client) page reload landing/app/dist/materials/archive/index.html
23:30:00 [vite] (client) page reload landing/app/dist/program/index.html
23:30:00 [vite] (client) page reload landing/app/dist/materials/access/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/index.html
23:30:00 [vite] (client) page reload landing/app/dist/en/404.html
23:30:00 [vite] (client) page reload landing/app/dist/en/program/index.html
23:30:00 [vite] (client) page reload landing/app/dist/index.html
23:30:01 [vite] (client) page reload landing/app/dist/index.html
23:30:01 [vite] (client) page reload landing/app/dist/materials/index.html
23:30:01 [vite] (client) page reload landing/app/dist/program/index.html
23:30:01 [vite] (client) page reload landing/app/dist/certificate/index.html
23:30:01 [vite] (client) page reload landing/app/dist/materials/onvif/index.html
23:30:01 [vite] (client) page reload landing/app/dist/materials/archive/index.html
23:30:01 [vite] (client) page reload landing/app/dist/materials/access/index.html
23:30:01 [vite] (client) page reload landing/app/dist/404.html
23:30:01 [vite] (client) page reload landing/app/dist/404/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/materials/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/program/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/certificate/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/materials/onvif/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/materials/archive/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/materials/access/index.html
23:30:01 [vite] (client) page reload landing/app/dist/en/404.html
23:30:01 [vite] (client) page reload landing/app/dist/en/404/index.html
